seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0.0,0.18343982516333115,-0.12131168615265187,0.14407877989524845,9.389125336048215,2.7015075406362845,-0.6467024432495236,-0.033369826977194726,-0.07019295917031751,0.05194971198216081,0.49998753916385563,0.11358668637830158,0.10146844257102457,0.8520278986110243,0.0968544275261635,-0.29084227216798203,-1.0471359553725221,-36.30000149119984,-2.6160512322729286,19.39431894909252,262.3255561936135,,9.579767892527025,2.5812245413314465,-0.5011395587650842,-108.27907402570858,-162.9152665249137,204.98154964003453,-0.03048390813236093,-0.07484109143608775,0.049629598839915,9.579767892527025,2.5812245413314465,-0.5011395587650842
1.0,-0.10521841334069476,-0.05450020774322398,-0.13850826538228098,9.197421401154761,3.272120351884879,-0.5549500807298019,0.06760147062367668,0.08089987764262832,0.03815625005346887,0.48223113838364096,0.14194073542660357,0.13488901947058884,0.8534205871469834,0.12075614958417182,-0.37645371112169,-1.0054397144738365,-33.78150146484375,-6.013125219345093,25.017001152038574,256.6072511702814,,9.091685692469278,3.217129584620981,-0.6932603263560975,-105.80175476074218,-166.29113067626952,210.53588439941407,0.0704889698912773,0.07626127464441108,0.03583222965472469,9.091685692469278,3.217129584620981,-0.6932603263560975
2.0,0.24359500828737365,0.05896160468496013,0.06858190152296188,9.100972317232944,3.5942596775470395,-0.4052702474158884,-0.04655123738996168,-0.03413131107843601,0.010524876263582766,0.4856935833940412,0.14487287933283513,0.15525677136265406,0.847468347242563,0.10355420941763585,-0.41570530728538435,-1.0191002193063792,-35.20575157165527,-9.31687533378601,26.73000102996826,250.6123078628682,,9.344006887756953,3.6527348320082864,-0.33652130246973866,-107.18175430297852,-169.6263815307617,212.26650939941408,-0.043665099238958394,-0.03875866349288585,0.008202351408429665,9.344006887756953,3.6527348320082864,-0.33652130246973866
3.0,-0.2627863898033313,-0.09746929639767782,0.1165555476635585,9.193867795607623,3.2884470902237237,-0.7715175587172601,-0.03423884811847672,0.006726715485474058,0.02362034321013911,0.5103089137404573,0.1483266860538838,0.1448470986649102,0.8343569110421574,0.1089807704967611,-0.40394270186330755,-1.0753387282876408,-36.47512641906738,-10.90650032043457,27.070500984191895,248.01167578343717,,8.930601905373965,3.1905060305314907,-0.6544235582993019,-108.46275527954101,-171.2332568359375,212.6201351928711,-0.031351347125190145,0.0020908086752409443,0.021290930120420513,8.930601905373965,3.1905060305314907,-0.6544235582993019
4.0,0.2344534475921704,0.05006465395580571,-0.13946011007070716,9.109355341089834,3.513643427650527,-0.6995541931378959,0.019335767931978005,-0.017408044165055647,-0.028440718322365294,0.49210665633182715,0.14516567387203178,0.14887339570144614,0.8452239774241306,0.10797016470149012,-0.40556893932937393,-1.0322136164891837,-36.802876510620116,-9.46350040435791,27.087751083374023,250.73499701483055,,9.34331781085175,3.563143230900906,-0.8385030062740096,-108.79988037109375,-169.79588104248046,212.68163299560547,0.02222054439716705,-0.022051731889864597,-0.030764603097508156,9.34331781085175,3.563143230900906,-0.8385030062740096
5.0,-0.19012592793853186,-0.057006373910196854,-0.006986990007206651,9.199045246722651,3.2760584354400635,-0.6567538916772487,0.024620587700137905,0.037412132597619704,0.006589215152951724,0.4714900994417714,0.13533945973305142,0.13958035438668495,0.8599789703593534,0.10895627773567743,-0.3767078250062232,-0.9821771991019156,-36.6300015258789,-6.725250272750855,26.106376266479494,255.5381199932964,,9.008462209327549,3.218582526141522,-0.6633926789577612,-108.65288009643555,-167.05500549316406,211.67738342285156,0.02750674050812628,0.03278161731420779,0.0042638488561280215,9.008462209327549,3.218582526141522,-0.6633926789577612
6.0,0.26039326574542737,0.02412532668302555,-0.017245266402121817,9.03505562319614,3.7209085898824257,-0.6400878615308516,-0.035449133194651046,0.02695680592245985,0.016795421157511745,0.4667310897666629,0.13896885978998524,0.1544355736805661,0.8593338102397352,0.10325300877932275,-0.40632184720275427,-0.9738710741005322,-34.053001403808594,-6.768750276565552,23.754001083374025,254.08089139532098,,9.294959866174377,3.744518504284396,-0.6569554796488495,-106.07363006591797,-167.10600524902344,209.32801055908203,-0.032561632228259106,0.02232400948495263,0.014467450651792016,9.294959866174377,3.744518504284396,-0.6569554796488495
7.0,-0.313462005307277,0.04310016628747404,0.06194249943683983,9.121495882670084,3.433619401034187,-0.9578354913814395,-0.03506654412394353,-0.021158823067797164,-0.007118994644021287,0.48205297016629983,0.143561235537716,0.1388886177948877,0.8528663510201024,0.1199604429888959,-0.38485836281495933,-1.0055135190486908,-32.935126609802246,-5.144625225067139,21.048750762939452,256.324098864261,,8.807529818777944,3.476216339597515,-0.8954088621151944,-104.94150451660157,-165.49688110351562,206.63775939941405,-0.03218039248010838,-0.02579338226796073,-0.009447059470831472,8.807529818777944,3.476216339597515,-0.8954088621151944
8.0,0.15132635946173478,-0.23446041229065728,-0.06692027729776881,9.069520355451225,3.5530744141871384,-1.0046245184275184,-0.019569925973099648,-0.0055013610612564155,-0.017879084010820577,0.49342859647061565,0.1494677026968191,0.13572187153714718,0.8457060332345491,0.12868633453208622,-0.38694860852590884,-1.0310959308454306,-30.244126205444335,-3.08250012755394,17.51625093460083,260.11548203927873,,9.220366784841707,3.3181130107086485,-1.071028269310989,-102.26025466918945,-163.43438201904297,203.12888519287108,-0.01668378713052019,-0.010145049745050988,-0.02020569294137825,9.220366784841707,3.3181130107086485,-1.071028269310989
9.0,0.14907583155139698,0.10258194841627105,-0.09361121515565388,9.03469664442773,3.6523912724326637,-0.9928621304970161,0.06876213154207696,8.492654956438962E-4,0.013882108334013644,0.48293230638784523,0.14801202948186912,0.1398825192568349,0.8512184596529194,0.12640662805414668,-0.39102840248276205,-1.0071640394481958,-26.50162612915039,-0.504000017568469,14.240625534057617,267.9395857283811,,9.183294548707849,3.7544692824868595,-1.0859544654102886,-98.55712921142577,-160.83450653076173,199.84388519287108,0.07164963180034914,-0.003785293878001325,0.011555392263165,9.183294548707849,3.7544692824868595,-1.0859544654102886
