seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0.0,-0.11737495427951217,0.44861256467068894,0.3854094249107327,8.05520639700048,4.302422467400046,0.13019282138522933,0.05744022233732816,-0.48537025539654083,1.257723552597708,0.8224330207880806,0.20507621125263326,0.09551622339332586,0.15551721104146804,-0.14234251526239164,-0.46665675289490643,-1.5045449284946217,-26.13924509425496,-37.27238553069358,11.638953907545222,197.6092993788508,,7.892185803069625,4.8006176754485725,0.5664977008086998,-98.03982969771984,-172.60640202012172,205.016434780387,0.05359142576885778,-0.47582993876773777,1.2423524705985518,7.892185803069625,4.8006176754485725,0.5664977008086998
1.0,-0.013200970403481237,-0.4789119848594217,-0.8764142599510084,-0.1441139483012923,8.785988080619585,-1.1210562246713307,-0.5593527203776164,-2.31289973976736,0.8868559354750236,0.1186180918080972,0.26791226804846585,0.2639203658788511,0.2454769699442394,0.027804389448449162,-1.1912256632701006,1.5053616215539452,6.012375301122665,-18.714000587463378,16.63800065279007,224.75855461483445,,-0.15723565221754926,8.306581568009783,-1.9973718765938635,-70.18687812805176,-166.0938815307617,211.46213409423828,-0.5610285865899065,-2.312172756654828,0.8885957875316686,-0.15723565221754926,8.306581568009783,-1.9973718765938635
2.0,0.16499646180126742,-0.28732228313581837,-0.23976037930697203,2.330311036577412,9.434324545018812,-1.1643315466011273,0.0800519609349031,-0.019821569364627496,0.04660441177239751,0.08701099006130415,0.2283704304227642,0.8118060365611431,0.528923464756386,2.909111453037636,-1.1179471752222847,2.447275713378308,-30.491251220703123,-23.44387592315674,4.228125178217888,190.16124859711664,,2.4948383499594295,9.146509250005087,-1.403755945354408,-107.29800476074219,-169.33425598144532,198.9052587890625,0.07837904398055638,-0.01909497538216266,0.04835146824445795,2.4948383499594295,9.146509250005087,-1.403755945354408
3.0,-0.2456523756275304,0.2215407207391529,-0.1569651882971019,2.6039740567160123,9.281114247765872,-1.6451451601368365,-0.0120033416021062,-0.14091979892979753,0.08822054335257352,0.01577069331594457,0.2264917125501255,0.8048969530823207,0.5457926705332086,2.6397794119202262,-1.0923620403403103,2.2852442453403286,-32.3145015335083,-28.471876220703123,3.02325011305511,186.44030118081065,,2.3578174326679493,9.502108366182535,-1.8015906716337298,-109.77862915039063,-171.48713165283203,195.66825927734374,-0.013690099101698045,-0.14017920457933208,0.08997537099783963,2.3578174326679493,9.502108366182535,-1.8015906716337298
4.0,-0.29249468424092684,-0.38248373677625375,0.14731532327976882,2.1323075446428037,9.42578078251259,-1.5057281454404194,-0.060570097030779604,-0.11049607792394418,0.10131862666001361,0.03871582355350256,0.2367515089172943,0.8123812365765665,0.530101976558274,2.7359097471424176,-1.0765737423709794,2.3313866082359764,-32.55562637329101,-31.90800121307373,3.6881251561641695,186.62210775087038,,1.8393427400904543,9.042751910639744,-1.3580030030479617,-110.01862915039062,-174.9247555541992,196.33313446044923,-0.062233578368071835,-0.10976409227313365,0.10305490047561333,1.8393427400904543,9.042751910639744,-1.3580030030479617
5.0,0.15723850522743593,0.054491785032176734,-0.01888877459534324,1.7895263232807122,9.499794478463654,-1.458120087585827,-0.06767042047150507,0.09826076795614444,-0.07077846502756129,0.0059617723022486165,0.21943862293616379,0.8236182945789677,0.5218793442933867,2.691204795742979,-1.0400132312633024,2.3593926453354337,-30.250876121520996,-33.857251472473145,1.1947500380128622,182.1725458233683,,1.9462619713037321,9.553764772887277,-1.4766030419285934,-107.7131300354004,-176.87138122558594,193.83863403320314,-0.0693422026037801,0.09899863713688337,-0.06904541956039496,1.9462619713037321,9.553764772887277,-1.4766030419285934
6.0,-0.09001921530922546,-0.40025221841300235,0.1352280206320917,1.7240172273972456,9.577065963371128,-1.0556035293083565,0.11870968090735522,0.21657058809354318,-0.021476960389454867,0.03304380398727588,0.22538006802399954,0.8222599987890206,0.5189425092117459,2.7714299010295496,-1.0534245687372543,2.390974608122134,-29.036626167297364,-32.18175132751465,2.0696250908076763,183.73288404891107,,1.6334838973833066,9.17628864213532,-0.9200191617596383,-106.49887939453124,-175.19775634765625,194.71125854492186,0.11703137145377696,0.217286394890763,-0.0197245098613933,1.6334838973833066,9.17628864213532,-0.9200191617596383
7.0,-0.2290578296242079,0.17914617861999144,-0.13716408816894682,1.6758910352640812,9.531859152387865,-1.3151195468288837,0.04261410793307984,0.06250123742340814,0.09908168270520054,0.07683322768621516,0.24318210987171324,0.8198984949895651,0.5104506343308062,2.8831058303908548,-1.0655891163514393,2.411198306791853,-26.443501167297363,-31.02900115966797,5.309250235557556,189.8242575623635,,1.446353531119847,9.710501425337084,-1.4518471012021055,-103.90725463867187,-174.04425537109375,197.95425811767578,0.04094504954127392,0.063230940260657,0.10082289553938968,1.446353531119847,9.710501425337084,-1.4518471012021055
8.0,-0.1360819013743191,-0.37104473594059745,-0.013935910685375185,1.2794094422076008,9.609237670898438,-1.3039121497975719,-0.011126715968381249,-0.2086360272768812,-0.0029818622998016723,0.09105954462164405,0.251595078571008,0.8254738414641654,0.4925044845826555,2.948350738770891,-1.040231725957134,2.4401203618191256,-22.151250762939455,-31.08862632751465,6.712500243186951,192.17577138750036,,1.1401838771268433,9.262071034487557,-1.3312059489270562,-99.61275436401367,-174.10725646972656,199.35713439941406,-0.011593564736223456,-0.20663527128664722,-0.002815345910811188,1.1401838771268433,9.262071034487557,-1.3312059489270562
9.0,-0.07477924806333267,-0.0616291610911341,0.23528312690357797,1.9400437232291345,9.493593433115741,-1.336009730797003,-0.07341819310026003,0.04877165862644958,-0.027549009968406788,0.10531075239771663,0.25430354594004034,0.8055118328273887,0.5229802975560179,2.9149271568449415,-1.1133482302769575,2.386273233017119,-20.4390007019043,-27.348751144409178,7.509750294685364,195.55494512048065,0.0,1.864770388544196,9.431528209459664,-1.1003599532575596,-97.90125442504883,-170.3651321411133,200.15175903320312,-0.07509814306060866,0.049498638022912315,-0.025807796705440426,1.864770388544196,9.431528209459664,-1.1003599532575596
10.0,0.09289236418793306,-0.2917679316711192,-0.019331125679480678,1.886281905221004,9.519753643110686,-1.238850020310458,0.03582683821920963,0.165788602330448,-0.05422622592681471,0.08961301958005802,0.225765421110041,0.7795693576335907,0.5751962638368794,2.785718356861788,-1.2208351656502368,2.3285643259684243,-17.849625816345213,-24.282000885009765,7.221750316619873,196.74149097937283,,1.9786853810735778,9.227490196041032,-1.257750053707437,-95.31337829589843,-167.2983804321289,199.86413330078125,0.03414987688244996,0.16651115096265487,-0.05248590706683257,1.9786853810735778,9.227490196041032,-1.257750053707437
11.0,-0.39390406915042,0.13110929755217368,0.14581036587974222,2.1410188651320956,9.463595267569664,-1.2485758721238316,0.05835309317612117,0.006708913196874137,0.012501608995296577,0.07444145468681461,0.21888490213025916,0.7755697883001649,0.5851222500942721,2.7124424641675287,-1.2285528123968898,2.2879167736166774,-17.581875762939454,-20.09587574005127,6.423750243186951,197.28229423091904,,1.7466238394822224,9.594229178853555,-1.1023634150624275,-95.04750305175781,-163.11263061523437,199.06688446044922,0.05668267298323831,0.00744133659334171,0.014252350559587231,1.7466238394822224,9.594229178853555,-1.1023634150624275
12.0,-0.26568146039019613,-0.23345200764928378,-0.023839812698390556,2.291755482262256,9.417706629809212,-1.3126722387239045,-0.04457696064320557,-0.2022975492062887,0.07787487773662981,0.12499290197065063,0.23963337289352044,0.7698537771608315,0.5748988465935576,2.8838911477257225,-1.2474631772321814,2.3546459137224685,-16.663500709533693,-15.836250648498535,7.732875294685364,206.11334889599766,,2.025566268931417,9.183706302268833,-1.336066232921154,-94.12650360107422,-158.85225524902344,200.37675872802734,-0.04624852851288868,-0.20156825868431114,0.0796098037458518,2.025566268931417,9.183706302268833,-1.336066232921154
13.0,-0.013050334169711991,-0.009537696984468722,0.04905407914124867,2.1848473817694423,9.481012830547257,-0.9128588528609743,-0.03881948446288851,0.08572450718458961,-0.010544363130797065,0.1123427255626987,0.21699395030736923,0.7803521296557259,0.5740668837930641,2.9121144776250802,-1.2404390257947586,2.435144197707083,-15.29850061416626,-12.267750453948974,13.577250576019287,227.20183319180194,,2.171279514537138,9.470935709336224,-0.8634441557897291,-92.76150344848632,-155.28638122558593,206.22075897216797,-0.040500491620132736,0.08644436263278418,-0.008798651625493578,2.171279514537138,9.470935709336224,-0.8634441557897291
14.0,0.08209471420458711,-0.26504983922632613,-0.053463099275411353,2.0544114809225102,9.491745542771746,-1.1798500088181827,0.006361757193018894,0.1233198007587159,-0.041800000031690786,0.08053652488506667,0.22145155293516594,0.7791269002574506,0.5792526567336356,2.7513996468912256,-1.2217553688748048,2.3140379084218847,-18.603375759124756,-10.353750343322753,20.230500831604004,241.94051192492617,3.0,2.1360595063997967,9.226194485579386,-1.2328990707450573,-96.06600418090821,-153.3712564086914,212.8766342163086,0.004687251970356349,0.12403861442027558,-0.04005742600501174,2.1360595063997967,9.226194485579386,-1.2328990707450573
15.0,-0.3700308621778051,-0.1023252401270415,0.19493140533824663,1.9292573788586784,9.501944803724102,-1.308553257409264,0.055767821991760835,-0.028839602153563855,0.0266668315893869,0.0878114553149974,0.22548472246911266,0.7787120436677838,0.5776145971647584,2.7734023344398726,-1.2230620384216309,2.319492028491332,-18.63487579345703,-12.092250499725342,27.66450122833252,246.4818189708082,,1.547129483199587,9.396476969999426,-1.0998382911168259,-96.09562973022462,-155.10750610351562,220.30838500976563,0.05410012375508057,-0.028107179273473153,0.02841757410344216,1.5574084880328414,9.399916837711146,-1.1093213433759417
16.0,-0.06566245615537657,0.20743243130716946,-0.1716345921527631,1.9707288116511732,9.517843794114519,-1.0887269115093912,0.04364740094723235,-0.15705495078743684,0.054915593618914335,0.05420749513680198,0.19993697933041224,0.7834275955020791,0.5829036955786223,2.700996502791301,-1.2165932171415574,2.3334609329110325,-20.832375774383546,-14.458125610351562,31.004626197814943,244.95133289700735,,1.9045545261095065,9.724794496404062,-1.2598990655577935,-98.29275344848632,-157.47375762939453,223.65076049804688,0.04196608790408562,-0.1563266078840093,0.05665680637933535,1.9045545261095065,9.724794496404062,-1.2598990655577935
17.0,-0.08184207629129364,-0.5407626728947256,0.03847857971000029,1.8233481423527587,9.560304594974891,-0.8508764365687966,-0.07642977811195248,-0.059440439713059685,0.05324080839807935,0.05454942218813242,0.20413577542001127,0.7818466372349683,0.5856919610032848,2.6715608765097225,-1.2173467114859937,2.297715362380533,-22.96200077056885,-15.406875591278077,33.16575149536133,245.04278924454516,,1.7410339035787712,9.019078362221812,-0.8120500400078063,-100.42387939453126,-158.4240072631836,225.80963470458985,-0.07810674058090822,-0.05872058956975154,0.054975734923180995,1.7410339035787712,9.019078362221812,-0.8120500400078063
18.0,0.04959762184926779,0.10986963191097325,0.035329572044976866,1.8960530687086652,9.55550215503957,-0.7926773447358962,-0.026208044942652824,0.08499678270430258,-0.04532462867935843,0.1214822465092829,0.22348152484634135,0.7641276664072925,0.5918553849258045,2.852240024226727,-1.2844125669781525,2.3540878933255036,-21.588000869750978,-18.12637580871582,36.10762680053711,243.30552214954264,,1.9452149437205626,9.664853941095938,-0.7570544929787664,-99.04987915039062,-161.14163024902345,228.75150939941406,-0.027879826281920518,0.08572376235895375,-0.043580692238404904,1.9452149437205626,9.664853941095938,-0.7570544929787664
19.0,0.09504949038519579,-0.2621110007828832,-0.05559613876154318,1.834548953701468,9.579741534064798,-0.7893592443536309,0.0028767151137193045,0.06590294041762165,-0.020715318862166182,0.11124916626688312,0.2162595686374926,0.7633377839537228,0.5969506245033414,2.8109047950482835,-1.2897081562117034,2.338468224394555,-21.04200084686279,-20.922375755310057,34.03237648010254,238.4367944902364,10.0,1.9291162718744839,9.317073957592834,-0.8446706271200788,-98.50500442504882,-163.93988006591798,226.67625885009767,0.0012064951599812974,0.06662548879417134,-0.018972303549412126,1.9291162718744839,9.317073957592834,-0.8446706271200788
