seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0.0,-0.4732490433594105,0.8541469089472773,0.3920763121254143,3.2168033393635147,4.842071372972823,5.359181612387471,-1.234814053427809,-1.4853265476360156,0.6389796802858737,-0.4830292401107392,-0.5164559886030767,-0.0019731607874213107,0.587899252258498,-1.1616425452561214,-0.6383931054727003,0.81411220777737,-0.5211647789586674,-5.21633532372388,-27.36647846482017,100.00611596121904,0.0,2.7378311424847994,5.688027848757204,5.745989942002571,-77.35824142802845,-148.20298836447975,162.72784631902522,-1.2365031152942472,-1.484612493680536,0.640726562187245,2.7378311424847994,5.688027848757204,5.745989942002571
1.0,0.2829514363467103,-0.0336511398084683,-0.2903024298092811,-2.5581946805411695,8.571618052089915,3.9543510067696666,0.10703296577284004,-0.3560818606695416,-0.0740895831920937,-0.5571205521574115,-0.7257729143199354,-0.31066888147540905,0.1325079705750588,-2.1213353435591897,-0.8733566545023776,1.306894581506748,26.319001235961913,-27.34237606048584,-13.116000480651856,153.4957523642425,,-2.2828780374690596,8.535465123606663,3.669286945286919,-48.347251892089844,-167.18925567626954,179.0898809814453,0.10637326626623474,-0.3523553181854584,-0.07181856479717068,-2.2828780374690596,8.535465123606663,3.669286945286919
2.0,-0.18435017934235015,0.10102245809123067,-0.009585310216292296,-2.443584314667352,8.56593141461363,4.027322065712202,0.06644108909929153,0.07173688299400677,0.10434480071860817,-0.5723204388476835,-0.6419529985673357,-0.5069745849854875,0.051360504982974564,-2.0535939849249205,-0.7520663207120234,1.8059106699310907,25.939501037597655,-38.055001449584964,-13.415250511169434,160.55888829934094,,-2.62743874587635,8.66646129778116,4.017246738518819,-44.03212669372559,-170.25000610351563,180.77588012695313,0.06476930617400915,0.07246113772328833,0.10609690525504474,-2.62743874587635,8.66646129778116,4.017246738518819
3.0,0.3240562028744641,-0.2496659202756835,-0.25986750990919333,-2.1184888552216923,8.55233009188783,4.273389353471644,-0.004064337359558718,0.07351262273960839,-0.005191299639751806,0.03005162560113586,0.0213960338347029,0.03580668716147394,0.026618327120766228,-2.094184311309663,-0.7766349026472261,1.892479137618943,27.43275119781494,-41.32500171661377,-12.527625522613526,163.1143556531679,,-1.7931119603390742,8.306330619472089,4.00854228628744,-42.54075164794922,-173.51700714111328,181.66313079833984,-0.005750735591658775,0.07424325848400008,-0.0034469361782220064,-1.7939147854260369,8.302131302216473,4.0130266757572395
4.0,0.21327214813699005,0.3171506922180294,0.1507293555550139,-2.4782472010886316,8.36326789855957,4.412952373523523,-0.045313737461214317,-0.16338403288754497,-0.15332747397409513,0.056360145016471935,0.05063965060923359,0.08128902640673194,0.054036870714055725,-2.1168064717018957,-0.8089800164251044,1.9249308876471944,27.576751136779784,-43.033126525878906,-12.96150053024292,163.0708237309818,,-2.2644862458847537,8.67989446149014,4.563193271655847,-42.39600151062012,-175.22625610351562,181.2307556152344,-0.04699368814541267,-0.16265841564255776,-0.15158898548435162,-2.2644862458847537,8.67989446149014,4.563193271655847
5.0,0.08890750659353072,-0.37047855672195995,-0.12021697318126069,-1.5887298961677174,8.761425849234703,3.9955532716052367,-0.015421781693539112,0.07828242489883658,-0.12155680582941611,0.5923550105330968,0.6024433586857106,0.5312521976999717,0.05066060442661885,-2.0431751296071723,-0.8751046273968007,2.004781171827033,23.481000938415526,-45.037126541137695,-12.997500495910645,163.8912579391457,8.0,-1.4874147655551924,8.3890739328721,3.874136939936993,-46.492501983642576,-177.22950592041016,181.19513122558592,-0.01710990033490528,0.07901348947261524,-0.11981150910885323,-1.4994193669224138,8.390410800971607,3.8748209677120244
6.0,0.21941942644379295,0.07149453196008367,-0.08324555635894879,-2.039033136745491,8.747484773692518,3.844461986334017,0.10450272220601835,-0.0894743810721332,0.12418019516153796,0.5801340801881092,0.6291657497387121,0.5142638748235041,0.04208519797550865,-2.102118486225015,-0.8849029594128675,1.9019781740585175,22.829250869750975,-42.32362670898438,-12.5685005569458,163.35051130204346,,-1.8192015698382464,8.818490018939027,3.7607021544239307,-47.14462677001953,-174.5186309814453,181.62375549316405,0.1028282171631656,-0.08875556750739418,0.12591868565685235,-1.8192015698382464,8.818490018939027,3.7607021544239307
7.0,-0.21155298128267566,-0.04461501785280073,-0.033428088058808855,-2.1525321147021126,8.702431454378015,3.908503574483535,-0.004959436631122348,0.09231372479367636,0.08098884674209152,0.5733549846153633,0.6351270979525996,0.5137111977034924,0.05318900966542024,-2.1425490566328462,-0.9007482020293965,1.8762109291319753,21.004500617980955,-39.805501785278324,-12.791250591278077,162.12560228110343,,-2.3635045219870174,8.6573372074202,3.8745575266725876,-48.96712753295898,-171.99825653076172,181.40100616455078,-0.006628309435886787,0.09304436274311122,0.08271298941462209,-2.3635045219870174,8.6573372074202,3.8745575266725876
8.0,0.24207526793827921,-0.25482169896511747,-0.20405704898317115,-2.0503103083903245,8.780086120756545,3.7998069182480916,-0.049559900758437594,0.010524876512550187,-0.04720061815500554,0.5689461496796938,0.6294038537705299,0.5239015693711763,0.06684937641614734,-2.160156028105481,-0.9062477657110384,1.8974287816793611,17.974500827789306,-37.32675163269043,-12.891000499725342,160.92212854721237,,-1.8077510760562254,8.524807816684836,3.5952551317687083,-51.998627166748044,-169.51875579833984,181.30088134765626,-0.05123576748249407,0.011249134759649192,-0.04545940557439433,-1.8077510760562254,8.524807816684836,3.5952551317687083
9.0,0.1869181006069423,0.21903536215826286,0.06157134462367086,-2.2418350226738872,8.646309413161932,3.9930756653056427,0.0035547792372823345,0.029011151461186362,-0.0012280642986297607,0.5724649779936847,0.6307642033287123,0.5201377766389473,0.052673313237142326,-2.1398558663386926,-0.891087752346899,1.8902969091546302,14.816250610351563,-33.03187637329101,-14.401875534057616,156.44763579928048,,-2.054436858962564,8.864865148768706,4.054145786107755,-55.15725219726563,-165.2268817138672,179.7915054321289,0.0018859077792833833,0.029740442129253756,5.230392767664264E-4,-2.054436858962564,8.864865148768706,4.054145786107755
