seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0.0,0.11356571568723987,-0.7477806852144353,-0.1697938712204204,6.075782200869392,5.029815884197459,-5.020982602063348,0.07705689770244491,0.4626179567013664,1.0759216918149728,0.09848635231439189,0.3196569172775044,0.23948931744431748,0.8941211048294516,0.7230547000380123,-0.5087402328848839,0.013263840354321633,-16.94694827323736,15.746512335400249,24.72471037576365,298.3286062570823,6.182232813779698,4.292851944302404,-5.172052569167558,-58.88677517203398,66.8847411399664,44.20160036308821,0.07653633845688472,0.462743456453778,1.0813159816140352,6.182232813779698,4.292851944302404,-5.172052569167558
1.0,-0.1342932656224744,-0.050279436372768355,-0.31719275569890204,-2.0153623650252235,8.397214132196764,-4.282662295827679,0.33697301886127434,0.8224950386211276,0.12951138841062046,0.23765653121632105,0.5764177175713521,0.49575400966055255,0.594651042246351,1.9548228511623307,-1.0535852628595688,0.6749497207940793,7.956000370979309,-10.196625384762884,31.658251533508302,252.75772819688373,-2.149300102820145,8.346398886512308,-4.59940169839298,-33.851626319885256,42.1128768157959,52.273127746582034,0.33366757047611595,0.8202882389362791,0.12596089089990103,-2.149300102820145,8.346398886512308,-4.59940169839298
2.0,0.21160061208414846,-0.2424310418544337,0.19331278895318973,-2.1615774357318878,8.894068050384522,-3.4885043573379515,0.039951838288164024,-0.01620073521546289,0.09949068509626623,0.3096282812952995,0.6094683665037155,0.4899967408180237,0.5396799486875534,2.1340406727790833,-1.1359786629676818,0.6767011761665345,8.960250413417816,-17.121750717163085,34.6867516708374,244.05538175936704,-1.9437728583222569,8.650047476929013,-3.293480351419732,-29.12850128173828,37.11187690734863,53.85262741088867,0.03580173244238785,-0.023630941710849798,0.09801163348267869,-1.949470586180687,8.651107945442199,-3.2947546529769896
3.0,0.0978634101612603,-0.3026495938207589,0.003283823696512948,-2.509599548928878,8.799391783919988,-3.432285519207225,0.01527611389387362,0.1583986373037321,-0.13845024661778813,0.2917805588712879,0.6080609361330668,0.5019363348974901,0.5397719822677911,2.160035208159802,-1.1151952614971237,0.7353965686816796,-3.01050012588501,-24.871500930786134,42.63450164794922,239.74523579758542,-2.411203059495664,8.49618860319549,-3.4285266352634802,-30.520501022338866,34.83487686157227,57.684001998901365,0.01196794532755814,0.15619591540094502,-0.14200482556670166,-2.411203059495664,8.49618860319549,-3.4285266352634802
4.0,0.03636061083059758,0.040830426168395204,0.2751071634422988,-3.227248439788818,8.286979060173035,-4.016689846515655,-0.1743311266159164,-0.08360674035479772,0.10793210758243267,0.25002916231751443,0.628214498758316,0.5092403981089592,0.5297147065401078,2.2215966391563415,-1.0269735217094422,0.8185024106502533,-0.7998750338703394,-24.38400089263916,45.364126663208005,241.6981626225448,-3.1978546085924204,8.333948390318616,-3.7568793816141564,-28.312126083374025,35.32575141906738,60.41137741088867,-0.17764056236574463,-0.08581213315711449,0.104385415544076,-3.1978546085924204,8.333948390318616,-3.7568793816141564
5.0,0.017399146527453672,-0.4684875481122849,0.08928552911817736,-3.2073961169111964,8.372033352945365,-3.9250109663196637,0.054682797037692056,-0.041839480593726774,0.06336435622600194,0.2622710386035489,0.6533355204498067,0.4866717653531654,0.5161334469037897,2.2354128991856292,-1.0074337288445117,0.7555653709991306,1.8390000641345978,-22.958250846862793,45.57750144958496,243.24584587221324,-3.18950898623934,7.903044494928098,-3.8351751893174413,-25.671376190185548,36.750376586914065,60.62437728881836,0.05333899994846433,-0.042651124531403184,0.06018100040499121,-3.18950898623934,7.903044494928098,-3.8351751893174413
6.0,0.11654486206341719,0.11802398892912534,-0.037729923152318684,-3.233957151375195,8.263938526115796,-4.115878803895251,0.04948786659823621,0.021962255056874425,-0.038796568417227735,0.25497399093491013,0.6556010576758055,0.48222686394606484,0.5214073020632904,2.2111918241670816,-0.9928700174435531,0.7376526847924336,1.992000069692731,-21.178875846862795,43.987876434326175,244.2730185759619,-3.116900634057451,8.381415258539786,-4.153128904871421,-25.517251167297363,38.53125129699707,59.035127563476564,0.0461851711859744,0.019760906093699092,-0.04234325956078429,-3.116900634057451,8.381415258539786,-4.153128904871421
7.0,0.14670820680319094,-0.34448855530981926,0.221527647087807,-3.4808552615782795,8.127005366718068,-4.1886808778725415,-0.054558910678445115,0.04834554423716399,-0.04737895973358709,0.24186275504967747,0.6577959574905097,0.4877714096915488,0.5198302146266488,2.2236567174687103,-0.9713423550128937,0.7659103326937732,3.5973751401901244,-19.726875801086425,42.16275177001953,244.94716303002926,-3.3337251625809015,7.782069458680994,-3.966650177450741,-23.9126261138916,39.98137649536133,57.21412734985351,-0.057860271839222106,0.046137376808293974,-0.05093353912510937,-3.3337251625809015,7.782069458680994,-3.966650177450741
8.0,-0.024313188458811308,0.002798637246141339,0.1384902798523435,-3.5055089988330805,8.202982284054897,-4.030837347011755,-0.024499264166818236,-0.022370710489614046,0.0064463232981735,0.24191116726044382,0.649936047520968,0.4977138071957201,0.5205255717334181,2.2347378589139124,-0.9840248610713694,0.7961118268494559,4.317750177383423,-19.65075077056885,38.92312652587891,243.2209719463968,-3.5293115589878346,8.205264728848297,-3.891871957495661,-23.191875839233397,40.05637657165527,53.97112724304199,-0.027801960428227104,-0.024570709820288944,0.002903676368113534,-3.5293115589878346,8.205264728848297,-3.891871957495661
9.0,-0.11493257238763895,-0.38438916553992153,0.024543358262001286,-3.1638214540953684,8.350172637712838,-4.013610018361913,0.012029875069856644,-0.020109375896863638,0.006781500014476478,0.25580799948460986,0.6520565163971174,0.48684215870234043,0.5212348546132003,2.2171857545871547,-1.0002772459889402,0.7509604751473606,5.287875180244446,-17.988375778198243,35.35012672424316,243.01968665183315,-3.2782501631444045,7.965275098781775,-3.988593745939802,-22.221375732421876,41.718001174926755,50.398877182006835,0.00872574986424297,-0.022313499110750853,0.003238125019706786,-3.2782501631444045,7.965275098781775,-3.988593745939802
10.0,0.18742580100056014,-0.030019011772652662,0.14224820679957323,-3.1903628311534917,8.339204627688568,-4.018546368816112,0.017457107908329834,-0.01073847992765699,0.02461249923205697,0.26631566498539233,0.6645037756107821,0.4711393330356862,0.5147851947510597,2.2181455380845776,-0.9960962061834807,0.7049068967894753,7.177500286102295,-14.91937562942505,31.362376403808593,244.5489126587298,-3.002413503014215,8.308703842729624,-3.8758516854578904,-20.33362564086914,44.79037666320801,46.40775169372559,0.01415306375836771,-0.012946569493186533,0.021050980602226713,-3.002413503014215,8.308703842729624,-3.8758516854578904
11.0,0.10604790230190345,-0.24818171316063872,-0.05052334235926323,-3.440476691021639,8.155201407039867,-4.172208094129376,-0.006748391043321036,0.05397623675497304,-0.060818563893179196,0.25248878580682416,0.6671839140209497,0.4696806458865895,0.5195425970881593,2.199773257853938,-0.9706129157075695,0.7018794767996844,7.9878752899169925,-10.640250396728515,28.338376121520994,249.48155630938876,-3.3338869190683553,7.906528285905426,-4.222234010696411,-19.52287582397461,49.06800178527832,43.38675163269043,-0.010060643768030227,0.05176670773249894,-0.06436361397828648,-3.3338869190683553,7.906528285905426,-4.222234010696411
12.0,0.1648107323758673,-0.09048142911183953,0.2505747928839675,-3.57202675318954,8.113680145528058,-4.151550897277228,-0.04585624975152314,0.017698405890305545,-0.0051939955675134476,0.24303004957071625,0.6645205711374188,0.48089649594656314,0.5173113316592604,2.2229641734963597,-0.9627836936771279,0.747226340345817,11.187375469207764,-5.309625239372253,27.365251197814942,259.0580947760073,-3.406739279775336,8.022688006410505,-3.9005452217441974,-16.323000812530516,54.399751892089846,42.41362655639649,-0.048142698777857984,0.015474876513391142,-0.009190717924128074,-3.406739279775336,8.022688006410505,-3.9005452217441974
13.0,-0.12861925131885918,-0.3475705059339302,-5.306855615491819E-4,-3.436732347565468,8.193853050771386,-4.097708502201119,0.032520153607260814,-0.1092690049518584,0.07448290795924103,0.2503396952995146,0.6614523511944395,0.4837175195265298,0.5145172573099233,2.235582455240115,-0.978524736683778,0.7553539914314193,16.09275062561035,-1.7662500586360692,28.796251220703127,266.34278744456185,-3.565624916907584,7.847676635968803,-4.096724458260112,-11.417625465393066,57.941627502441406,43.84200172424316,0.029214539731453572,-0.11147040701756368,0.07093175968193279,-3.5648698614101217,7.845801916989413,-4.097728986932774
14.0,0.2003623555457026,0.003991230953447889,0.21407583007810288,-3.4291683494454563,8.189462600368085,-4.118987057468678,0.043699386214618295,-0.013810661963789779,0.017112009679241216,0.24493960446060295,0.6632766877070512,0.48425209876334313,0.514572258042817,2.23727011444545,-0.967997415821151,0.7614824028298406,21.77512580871582,-0.3573750123381615,32.42212631225586,269.36519502602624,-3.2282734247717526,8.192926142475393,-3.9044615726659795,-5.733750257492066,59.35087715148926,47.46862663269043,0.04038590691326296,-0.016016053396514525,0.013559925999930677,-3.2282734247717526,8.192926142475393,-3.9044615726659795
15.0,0.1382811787086265,-0.1601015133600609,-0.059491496694082505,-3.7447197904773786,8.092871432210885,-4.034535214012744,-0.026692697815228216,0.08769777236912067,-0.04632796959416701,0.24226066616235994,0.6613166384837207,0.49111901136005626,0.511830624996447,2.2546906611498665,-0.9680747337201062,0.7880597371681064,25.679626083374025,-1.02375004991889,35.421376342773435,268.31773750177956,-3.6059251719830083,7.9322489102681475,-4.093517838739881,-1.8318750788271427,58.680752182006835,50.46600234985352,-0.029999504640403362,0.08549504928604358,-0.04987438044298698,-3.6059251719830083,7.9322489102681475,-4.093517838739881
16.0,0.12462172441479594,-0.1531080979448144,0.2598955633031149,-3.721484155938177,8.067070389738177,-4.119267787083541,-0.010621201036972743,0.0014558823587482467,-0.039563602676578595,0.22278165404159245,0.6467260411470244,0.5074603758235969,0.5232825043177841,2.2340687714000738,-0.960866126683679,0.8326225941724116,26.724376106262206,-0.7290000301599503,39.03112655639649,268.8997791222376,-3.596395729792,7.91342565328768,-3.858855615748037,-0.7860000351071358,58.981502075195316,54.07837730407715,-0.01392928954652127,-7.495092931112238E-4,-0.04311029237749822,-3.596395729792,7.91342565328768,-3.858855615748037
17.0,-0.13209529647933282,-0.2845299324933624,0.018180445131689014,-3.5612495181584123,8.217433249596322,-3.9445215310200608,0.013660625121556223,-0.11100650017615407,0.05693050008267164,0.2433632798124068,0.6479601500057938,0.503121964117088,0.5160940100650976,2.256781792876744,-0.9895044028168858,0.8197832762604893,29.332126083374025,-1.136625050753355,39.206251831054686,268.22087885055544,-3.692890271101848,7.932390968398292,-3.925850684099858,1.8210000701993705,58.57162719726563,54.25125221252441,0.010352375018410385,-0.11321337414439768,0.053381625195033845,-3.692890271101848,7.932390968398292,-3.925850684099858
18.0,0.26399796114690455,-0.12220592277198292,0.19773209130963182,-3.415949722327808,8.211520171401524,-4.097949495409975,-0.003999632459097341,0.07431740193244289,-0.012891298684967207,0.2670157203579893,0.6821608773552545,0.457470557182142,0.5024303017866494,2.2422775348814405,-0.9709363379100762,0.6828918592764599,33.02362632751465,-0.5343750202655793,38.379751434326174,269.11235143833693,-3.1514362828566296,8.088794934867632,-3.8997328611883786,5.513250222206116,59.175752334594726,53.42850242614746,-0.007307720749511146,0.07211470589333889,-0.016452818264381264,-3.1514362828566296,8.088794934867632,-3.8997328611883786
19.0,0.09048667535021462,-0.042238326743245125,-0.06553020692594788,-3.5914356965644685,8.060216585795084,-4.221424479110568,-0.018561137817099248,0.0073787108902810235,-0.04668737576333898,0.27430595311464046,0.7036276021424461,0.42866897144738364,0.49510618313854815,2.230849020621356,-0.9456030691371244,0.6031464437643687,34.62450157165527,-3.5992501357197764,34.09837627410889,263.6165491471261,-3.500411914844139,8.017482729519115,-4.286488441859975,7.113375272750854,56.10900245666504,49.146752243041995,-0.021867945679638644,0.005173266556409031,-0.05024603822978564,-3.500411914844139,8.017482729519115,-4.286488441859975
20.0,0.19259729751819135,-0.2839347863256341,0.31270428633520214,-3.613515263736838,8.07920222235198,-4.180136711290567,-0.03525257368535534,0.06462365177040007,-0.04568100470465188,0.26557305189642577,0.6874037414494127,0.44854040547172624,0.5049902687568476,2.2230244060554125,-0.9588210565028804,0.6527923776371645,28.414876098632813,-6.731250276565552,32.47387626647949,258.2552493434225,-3.420353646325593,7.794742943036674,-3.866980866630479,0.9037500356137752,52.97700225830078,47.521876907348634,-0.03856470580577996,0.0624236504309902,-0.049226348589667505,-3.420353646325593,7.794742943036674,-3.866980866630479
21.0,-0.1777390796405328,-0.03756607969356055,-0.05883357401863478,-3.6657111101811477,8.166468931896851,-3.9489606677895726,0.04868324998766184,-0.05158587540499866,0.04656849966384471,0.2757432869836396,0.6923806737450993,0.44841204203811347,0.49287227701907066,2.263706555553511,-0.9685692757952447,0.6648205279135236,24.818251152038574,-5.562000246047973,32.65425151824951,260.2082193819227,-3.8307251860113705,8.124963601430258,-4.010276663537119,-2.689875106215477,54.14625259399414,47.69962692260742,0.046737746773564286,-0.05277685593297281,0.04259232658948196,-3.8307251860113705,8.124963601430258,-4.010276663537119
22.0,0.3011390716023743,-0.39467231664806607,0.20458116855937988,-3.567327530384064,8.406196756362915,-3.5363575077056884,0.043169607558999866,0.007926471540521757,0.035022058569844444,0.3014042669593698,0.6979773640632629,0.4425259580706606,0.47465036440603803,2.317436126199099,-0.9995102551904055,0.6610273140491826,25.26975112915039,-5.632875242233276,34.96275161743164,260.8033967738354,-3.2709640181890807,7.9967008817313925,-3.3312343158344233,-2.240250086784363,54.072752456665036,50.011877365112305,0.04060878737433122,0.005343440449842722,0.0321273515969146,-3.2709640181890807,7.9967008817313925,-3.3312343158344233
23.0,0.056523373971382775,0.1346493468199875,-0.06654825584287298,-3.7027728440714816,8.312258491329118,-3.5923284035102996,-0.0010387375674182826,0.06015420646987634,-0.051125495085990666,0.3119092662544811,0.7035936128859427,0.43127192089370653,0.4698955580299976,2.3163381300720514,-1.006176344319886,0.6265280042208877,25.91737617492676,-7.441125326156616,37.99575141906738,258.9088407712699,-3.645782546669829,8.446403353821998,-3.6583560448066863,-1.593750062584877,52.26787750244141,53.043002166748046,-0.004350990324401029,0.05795284623446146,-0.05467190545992834,-3.645782546669829,8.446403353821998,-3.6583560448066863
24.0,0.25298367418570095,-0.4048455263128375,0.20385476292599694,-3.7880688114921646,8.203905945957297,-3.7337872934813547,-0.05744264634125227,0.026371690714001365,-0.06589350438055892,0.29176336585885226,0.7081158326403929,0.4311124233916254,0.4764069622696036,2.2970731069545933,-0.9683249191482468,0.62950332211976,24.63712604522705,-6.941250286102295,41.931751556396485,260.5751021947784,-3.5345734428651263,7.798579093253259,-3.5294764077309333,-2.874750118255615,52.76662742614746,56.97750221252441,-0.06426887514069676,0.023596374029293658,-0.06641112458426505,-3.5345734428651263,7.798579093253259,-3.5294764077309333
